file_name,positive_score,negative_score,polarity,subjectivity,avg_sentence_length,percentage_of_complex_words,fog_index,Average syllables per word,percent_complex_words,total_num_pronouns
106.0.txt,5,3,0.09931547619047619,0.43089285714285713,11.12,0.0,4.4479999999999995,0.0,0,0
105.0.txt,21,32,0.03877551020408161,0.4050513474620617,12.8,0.0,5.120000000000001,0.0,0,1
104.0.txt,26,50,0.03686349924585219,0.3577772031889679,12.226415094339623,0.0,4.89056603773585,0.0,0,2
103.0.txt,7,22,0.04753599114064231,0.38227063634040376,11.735294117647058,0.2506265664160401,4.794368273625239,0.010025062656641603,1,0
102.0.txt,23,39,0.01282547109752992,0.40367010440539847,10.25,0.0,4.1000000000000005,0.0,0,0
101.0.txt,3,2,0.23095238095238094,0.3351190476190476,11.222222222222221,0.0,4.488888888888889,0.0,0,0
100.0.txt,20,38,0.056750912324464164,0.31058142399605815,12.606060606060606,0.0,5.042424242424243,0.0,0,0
107.0.txt,15,2,0.07368371212121214,0.2954450757575757,10.371428571428572,0.0,4.148571428571429,0.0,0,0
108.0.txt,28,45,0.029580026455026456,0.3972387566137567,16.857142857142858,0.0,6.742857142857144,0.0,0,0
109.0.txt,25,21,0.2907366071428572,0.597842261904762,10.451612903225806,0.0,4.180645161290323,0.0,0,0
110.0.txt,5,29,-0.023409670686456406,0.29236355905998757,12.82,0.31201248049922,5.252804992199689,0.0187207488299532,2,0
111.0.txt,12,26,-0.0599678760393046,0.42820294784580504,10.653846153846153,0.18050541516245489,4.333740627603444,0.007220216606498195,1,0
112.0.txt,19,43,0.0892636684303351,0.42689594356261035,12.07843137254902,0.16233766233766234,4.896307613954673,0.008116883116883116,1,2
113.0.txt,22,27,0.027124304267161416,0.37921459492888066,12.767857142857142,0.0,5.107142857142858,0.0,0,0
114.0.txt,41,40,-0.01183050447901935,0.46347477604903337,11.45945945945946,0.0,4.583783783783784,0.0,0,1
115.0.txt,23,45,-0.047162698412698406,0.37613858363858366,11.797872340425531,0.09017132551848511,4.755217466377607,0.0018034265103697023,1,1
116.0.txt,23,24,0.04323899371069183,0.4707771787960466,17.04,0.0,6.816,0.0,0,1
117.0.txt,34,68,0.05064236111111107,0.432455357142857,14.379746835443038,0.08802816901408451,5.78711000178285,0.006161971830985915,1,1
118.0.txt,28,44,0.07089540962182471,0.5056744042121402,8.20253164556962,0.0,3.281012658227848,0.0,0,0
119.0.txt,7,10,0.08514492753623189,0.45760869565217394,10.714285714285714,0.0,4.285714285714286,0.0,0,0
120.0.txt,43,81,-0.004167692939244666,0.31312192118226606,14.010416666666666,0.07434944237918216,5.63390644361834,0.001486988847583643,1,0
121.0.txt,26,56,-0.012983405483405491,0.5185873015873015,10.615384615384615,0.14492753623188406,4.3041248606466,0.005797101449275362,1,0
122.0.txt,29,52,0.03534788359788361,0.4300291005291005,10.081632653061224,0.10121457489878542,4.073138891184004,0.003036437246963563,1,0
123.0.txt,36,67,0.06243617702264316,0.4163102853704357,12.64102564102564,0.0,5.056410256410256,0.0,0,1
124.0.txt,43,68,0.06296012730438963,0.37083633579535225,11.615384615384615,0.24834437086092717,4.745491594498217,0.009933774834437087,3,1
125.0.txt,49,15,0.10539448051948046,0.32799404761904766,15.838709677419354,0.10183299389002036,6.376217068523751,0.010183299389002037,1,0
126.0.txt,13,20,0.02673455870177182,0.34086651053864164,14.40625,0.21691973969631237,5.849267895878525,0.010845986984815618,1,0
127.0.txt,36,75,-0.028585371085371084,0.4285800085800086,11.69620253164557,0.3246753246753247,4.808351142528358,0.008658008658008658,3,0
128.0.txt,25,41,0.19833333333333336,0.5342117117117116,8.672131147540984,0.0,3.468852459016394,0.0,0,1
129.0.txt,5,22,-0.027496159754224272,0.42125576036866363,13.484848484848484,0.22471910112359553,5.483827034388832,0.011235955056179775,1,0
130.0.txt,24,51,0.014277856357064272,0.3439022473675938,20.54901960784314,0.0,8.219607843137256,0.0,0,0
131.0.txt,72,21,0.09284769463340897,0.45925261907404796,14.25,0.29239766081871343,5.816959064327485,0.014619883040935672,3,0
132.0.txt,26,18,0.03672226175650834,0.4612325802051828,11.703125,0.5340453938584779,4.894868157543391,0.1068090787716956,4,1
133.0.txt,46,26,0.0314423076923077,0.44932692307692296,14.666666666666666,0.16233766233766234,5.931601731601732,0.00487012987012987,1,0
134.0.txt,10,7,0.03645446815089672,0.283723716759431,20.333333333333332,0.0,8.133333333333333,0.0,0,0
135.0.txt,5,6,0.2,0.38030303030303025,11.5,0.5434782608695652,4.817391304347826,0.03260869565217391,1,0
136.0.txt,0,13,-0.11172161172161174,0.4329670329670329,13.666666666666666,0.975609756097561,5.856910569105691,0.00975609756097561,2,0
137.0.txt,4,5,-0.042164522058823525,0.28284313725490196,14.4,0.0,5.760000000000001,0.0,0,0
138.0.txt,5,9,-0.07666666666666667,0.36936507936507934,8.875,0.0,3.5500000000000003,0.0,0,0
139.0.txt,39,20,0.09559202059202057,0.42824967824967825,9.0,0.0,3.6,0.0,0,0
140.0.txt,17,45,-0.0033645388097442914,0.4260499774198404,11.5,0.0,4.6000000000000005,0.0,0,0
141.0.txt,6,33,-0.03533940018315018,0.40451436584249073,13.1,0.0,5.24,0.0,0,0
142.0.txt,34,57,0.0772495894909688,0.35687213169971793,12.433734939759036,0.09689922480620156,5.012253665826095,0.003875968992248062,1,1
143.0.txt,4,22,0.07114338364338364,0.36610214110214107,10.818181818181818,0.0,4.327272727272727,0.0,0,1
145.0.txt,13,16,0.07883928571428571,0.43619977678571425,13.722222222222221,0.0,5.488888888888889,0.0,0,0
